_id,Produto,Categoria do Produto,Preço,Data da Compra,Valor do Frete
65955a121b7c4edbe6510d9a,Xadrez de madeira,brinquedos,25.23,2021-01-01,0.0
65955a121b7c4edbe6510d9b,Impressora,eletronicos,322.04,2021-01-01,14.7321002401
65955a121b7c4edbe6510d9c,Mesa de centro,moveis,282.22,2021-01-01,12.6118050347
65955a121b7c4edbe6510d9d,Tablet ABXY,eletronicos,1100.42,2021-01-01,68.4513476183
65955a121b7c4edbe6510d9e,Fogão,eletrodomesticos,791.81,2021-01-01,42.4446263246
65955a121b7c4edbe6510d9f,Violão,instrumentos musicais,316.84,2022-01-01,17.1595536296
65955a121b7c4edbe6510da0,Geladeira,eletrodomesticos,2322.94,2022-01-01,121.2740057251
65955a121b7c4edbe6510da1,Secadora de roupas,eletrodomesticos,1893.04,2022-01-01,107.1782993366
65955a121b7c4edbe6510da2,Jogo de copos,utilidades domesticas,37.44,2022-01-01,2.8819825404
65955a121b7c4edbe6510da3,Blocos de montar,brinquedos,36.84,2022-01-01,0.0
65955a121b7c4edbe6510da4,Iniciando em programação,livros,63.25,2022-01-01,3.894137208
65955a121b7c4edbe6510da5,Fogão,eletrodomesticos,607.49,2022-01-01,33.2354300998
65955a121b7c4edbe6510da6,Bola de vôlei,esporte e lazer,75.11,2022-01-01,1.5838206052
65955a121b7c4edbe6510da7,Bateria,instrumentos musicais,1031.24,2023-01-01,55.199204426
65955a121b7c4edbe6510da8,Boneca bebê,brinquedos,50.72,2023-01-01,3.2317919389
65955a121b7c4edbe6510da9,Sofá retrátil,moveis,888.09,2023-01-01,51.7681594786
65955a121b7c4edbe6510daa,Pandeiro,instrumentos musicais,47.05,2023-01-01,2.7883968633
65955a121b7c4edbe6510dab,Bicicleta,esporte e lazer,836.66,2023-01-01,45.438043164
65955a121b7c4edbe6510dac,Xadrez de madeira,brinquedos,44.82,2023-01-01,3.2749453383
65955a121b7c4edbe6510db0,Micro-ondas,eletrodomesticos,1035.84,2021-02-01,55.6864683002
65955a121b7c4edbe6510db1,Cama king,moveis,660.46,2021-02-01,35.4506339784
65955a121b7c4edbe6510db2,Ciência de dados com python,livros,86.13,2021-02-01,5.2731755368
65955a121b7c4edbe6510db3,Guitarra,instrumentos musicais,957.84,2021-02-01,51.5283634201
65955a121b7c4edbe6510db4,Ciência de dados com python,livros,72.75,2021-02-01,1.458157705
65955a121b7c4edbe6510db5,Cama box,moveis,819.22,2021-02-01,43.9041263642
65955a121b7c4edbe6510db6,Headset,eletronicos,340.22,2021-02-01,15.7001305473
65955a121b7c4edbe6510db7,Iniciando em programação,livros,61.73,2021-02-01,0.0
65955a121b7c4edbe6510db8,Jogo de panelas,utilidades domesticas,126.59,2021-02-01,4.3249757326
65955a121b7c4edbe6510db9,Guitarra,instrumentos musicais,1158.33,2022-02-01,62.2086923009
65955a121b7c4edbe6510dba,Dashboards com Power BI,livros,57.63,2022-02-01,9.3105595123
65955a121b7c4edbe6510dbb,Copo térmico,esporte e lazer,50.31,2022-02-01,0.0
65955a121b7c4edbe6510dbc,Corda de pular,esporte e lazer,21.88,2022-02-01,0.0
65955a121b7c4edbe6510dbd,Mesa de jantar,moveis,264.63,2022-02-01,14.6218559113
65955a121b7c4edbe6510dbe,Ciência de dados com python,livros,79.28,2022-02-01,1.8058605601
65955a121b7c4edbe6510dbf,Bicicleta,esporte e lazer,520.28,2022-02-01,27.9864706964
65955a121b7c4edbe6510dc0,Mochila,esporte e lazer,147.99,2022-02-01,5.4644613527
65955a121b7c4edbe6510dc1,Poltrona,moveis,251.37,2022-02-01,10.969135344
65955a121b7c4edbe6510dc2,Dashboards com Power BI,livros,41.76,2022-02-01,2.7546988942
65955a121b7c4edbe6510dc3,Ciência de dados com python,livros,82.15,2023-02-01,1.958679426
65955a121b7c4edbe6510dc4,Smartwatch,eletronicos,184.84,2023-02-01,17.9198218199
65955a121b7c4edbe6510dc5,Bola de vôlei,esporte e lazer,55.1,2023-02-01,3.2170351457
65955a121b7c4edbe6510dc6,Cômoda,moveis,417.02,2023-02-01,19.7894995019
65955a121b7c4edbe6510dc7,Fone de ouvido,eletronicos,108.12,2023-02-01,6.6969125635
65955a121b7c4edbe6510dc8,Lava louças,eletrodomesticos,1702.95,2023-02-01,88.2614034053
65955a121b7c4edbe6510dc9,TV Led UHD 4K,eletronicos,2404.01,2023-02-01,125.5907393338
65955a121b7c4edbe6510dca,Modelagem preditiva,livros,70.49,2023-02-01,1.337819504
65955a121b7c4edbe6510dcb,Dashboards com Power BI,livros,40.98,2023-02-01,0.0
65955a121b7c4edbe6510dcc,Assistente virtual,eletronicos,214.5,2023-02-01,9.0059187638
65955a121b7c4edbe6510dd5,Geladeira,eletrodomesticos,2774.0,2021-03-01,147.9902805969
65955a121b7c4edbe6510dd6,Lavadora de roupas,eletrodomesticos,2034.43,2021-03-01,108.8583816384
65955a121b7c4edbe6510dd7,Celular ABXY,eletronicos,1522.65,2021-03-01,87.3184671407
65955a121b7c4edbe6510dd8,Xadrez de madeira,brinquedos,28.76,2021-03-01,0.0
65955a121b7c4edbe6510dd9,Fogão,eletrodomesticos,1378.02,2021-03-01,74.7745347061
65955a121b7c4edbe6510dda,Cubo mágico 8x8,brinquedos,14.52,2021-03-01,3.9369626407
65955a121b7c4edbe6510ddb,Micro-ondas,eletrodomesticos,930.94,2021-03-01,47.1541934231
65955a121b7c4edbe6510ddc,Corda de pular,esporte e lazer,32.96,2022-03-01,11.3359643772
65955a121b7c4edbe6510ddd,Celular ABXY,eletronicos,1100.5,2022-03-01,59.2853264023
65955a121b7c4edbe6510dde,Bola de vôlei,esporte e lazer,54.42,2022-03-01,3.1808271914
65955a121b7c4edbe6510ddf,Guarda roupas,moveis,663.54,2022-03-01,36.0185209544
65955a121b7c4edbe6510de0,Lavadora de roupas,eletrodomesticos,2060.2,2022-03-01,107.2838911531
65955a121b7c4edbe6510de1,Carrinho controle remoto,brinquedos,116.0,2022-03-01,3.7610900916
65955a121b7c4edbe6510de2,Sofá retrátil,moveis,890.4,2022-03-01,44.9955603837
65955a121b7c4edbe6510de3,Mesa de jantar,moveis,476.88,2022-03-01,22.9768644188
65955a121b7c4edbe6510de4,Ciência de dados com python,livros,50.51,2022-03-01,10.2450858314
65955a121b7c4edbe6510de5,Headset,eletronicos,219.88,2022-03-01,11.9967253244
65955a121b7c4edbe6510de6,Pandeiro,instrumentos musicais,109.52,2022-03-01,3.416049586
65955a121b7c4edbe6510de7,Lavadora de roupas,eletrodomesticos,1732.36,2022-03-01,89.8273974282
